"IDself","IDother","distance","age","gender","classNr","EigenvectorCentrality","friendsIn","stdFriendsIn","Betweenness"
10070,10070,0,15,"male",100,0.76813548419201,8,-0.236338527407104,0.0261437908496732
10070,10063,1,15,"male",100,0.76813548419201,8,-0.236338527407104,0.0261437908496732
10070,10042,1,15,"male",100,0.76813548419201,8,-0.236338527407104,0.0261437908496732
10070,10035,1,15,"male",100,0.76813548419201,8,-0.236338527407104,0.0261437908496732
10070,10088,1,15,"male",100,0.76813548419201,8,-0.236338527407104,0.0261437908496732
10070,10015,1,15,"male",100,0.76813548419201,8,-0.236338527407104,0.0261437908496732
10070,10073,1,15,"male",100,0.76813548419201,8,-0.236338527407104,0.0261437908496732
10070,10083,2,15,"male",100,0.76813548419201,8,-0.236338527407104,0.0261437908496732
10070,10053,2,15,"male",100,0.76813548419201,8,-0.236338527407104,0.0261437908496732
10070,10019,1,15,"male",100,0.76813548419201,8,-0.236338527407104,0.0261437908496732
10070,10046,1,15,"male",100,0.76813548419201,8,-0.236338527407104,0.0261437908496732
10070,10099,2,15,"male",100,0.76813548419201,8,-0.236338527407104,0.0261437908496732
10070,10075,2,15,"male",100,0.76813548419201,8,-0.236338527407104,0.0261437908496732
10070,10079,2,15,"male",100,0.76813548419201,8,-0.236338527407104,0.0261437908496732
10070,10087,2,15,"male",100,0.76813548419201,8,-0.236338527407104,0.0261437908496732
10070,10085,3,15,"male",100,0.76813548419201,8,-0.236338527407104,0.0261437908496732
10070,10081,4,15,"male",100,0.76813548419201,8,-0.236338527407104,0.0261437908496732
10070,10026,2,15,"male",100,0.76813548419201,8,-0.236338527407104,0.0261437908496732
10070,10010,2,15,"male",100,0.76813548419201,8,-0.236338527407104,0.0261437908496732
10063,10070,1,14,"male",100,0.539718495422802,8,-0.236338527407104,0.0991285403050109
10063,10063,0,14,"male",100,0.539718495422802,8,-0.236338527407104,0.0991285403050109
10063,10042,1,14,"male",100,0.539718495422802,8,-0.236338527407104,0.0991285403050109
10063,10035,1,14,"male",100,0.539718495422802,8,-0.236338527407104,0.0991285403050109
10063,10088,1,14,"male",100,0.539718495422802,8,-0.236338527407104,0.0991285403050109
10063,10015,1,14,"male",100,0.539718495422802,8,-0.236338527407104,0.0991285403050109
10063,10073,1,14,"male",100,0.539718495422802,8,-0.236338527407104,0.0991285403050109
10063,10083,2,14,"male",100,0.539718495422802,8,-0.236338527407104,0.0991285403050109
10063,10053,1,14,"male",100,0.539718495422802,8,-0.236338527407104,0.0991285403050109
10063,10019,2,14,"male",100,0.539718495422802,8,-0.236338527407104,0.0991285403050109
10063,10046,2,14,"male",100,0.539718495422802,8,-0.236338527407104,0.0991285403050109
10063,10099,2,14,"male",100,0.539718495422802,8,-0.236338527407104,0.0991285403050109
10063,10075,2,14,"male",100,0.539718495422802,8,-0.236338527407104,0.0991285403050109
10063,10079,2,14,"male",100,0.539718495422802,8,-0.236338527407104,0.0991285403050109
10063,10087,2,14,"male",100,0.539718495422802,8,-0.236338527407104,0.0991285403050109
10063,10085,2,14,"male",100,0.539718495422802,8,-0.236338527407104,0.0991285403050109
10063,10081,3,14,"male",100,0.539718495422802,8,-0.236338527407104,0.0991285403050109
10063,10026,1,14,"male",100,0.539718495422802,8,-0.236338527407104,0.0991285403050109
10063,10010,3,14,"male",100,0.539718495422802,8,-0.236338527407104,0.0991285403050109
10042,10070,1,14,"male",100,0.850014345945138,13,1.16692147907258,0.104575163398693
10042,10063,1,14,"male",100,0.850014345945138,13,1.16692147907258,0.104575163398693
10042,10042,0,14,"male",100,0.850014345945138,13,1.16692147907258,0.104575163398693
10042,10035,1,14,"male",100,0.850014345945138,13,1.16692147907258,0.104575163398693
10042,10088,1,14,"male",100,0.850014345945138,13,1.16692147907258,0.104575163398693
10042,10015,1,14,"male",100,0.850014345945138,13,1.16692147907258,0.104575163398693
10042,10073,1,14,"male",100,0.850014345945138,13,1.16692147907258,0.104575163398693
10042,10083,2,14,"male",100,0.850014345945138,13,1.16692147907258,0.104575163398693
10042,10053,1,14,"male",100,0.850014345945138,13,1.16692147907258,0.104575163398693
10042,10019,1,14,"male",100,0.850014345945138,13,1.16692147907258,0.104575163398693
10042,10046,1,14,"male",100,0.850014345945138,13,1.16692147907258,0.104575163398693
10042,10099,2,14,"male",100,0.850014345945138,13,1.16692147907258,0.104575163398693
10042,10075,1,14,"male",100,0.850014345945138,13,1.16692147907258,0.104575163398693
10042,10079,1,14,"male",100,0.850014345945138,13,1.16692147907258,0.104575163398693
10042,10087,1,14,"male",100,0.850014345945138,13,1.16692147907258,0.104575163398693
10042,10085,2,14,"male",100,0.850014345945138,13,1.16692147907258,0.104575163398693
10042,10081,3,14,"male",100,0.850014345945138,13,1.16692147907258,0.104575163398693
10042,10026,1,14,"male",100,0.850014345945138,13,1.16692147907258,0.104575163398693
10042,10010,2,14,"male",100,0.850014345945138,13,1.16692147907258,0.104575163398693
10035,10070,1,14,"male",100,1,15,1.72822548166445,0.15359477124183
10035,10063,1,14,"male",100,1,15,1.72822548166445,0.15359477124183
10035,10042,1,14,"male",100,1,15,1.72822548166445,0.15359477124183
10035,10035,0,14,"male",100,1,15,1.72822548166445,0.15359477124183
10035,10088,1,14,"male",100,1,15,1.72822548166445,0.15359477124183
10035,10015,1,14,"male",100,1,15,1.72822548166445,0.15359477124183
10035,10073,1,14,"male",100,1,15,1.72822548166445,0.15359477124183
10035,10083,1,14,"male",100,1,15,1.72822548166445,0.15359477124183
10035,10053,1,14,"male",100,1,15,1.72822548166445,0.15359477124183
10035,10019,1,14,"male",100,1,15,1.72822548166445,0.15359477124183
10035,10046,1,14,"male",100,1,15,1.72822548166445,0.15359477124183
10035,10099,1,14,"male",100,1,15,1.72822548166445,0.15359477124183
10035,10075,1,14,"male",100,1,15,1.72822548166445,0.15359477124183
10035,10079,1,14,"male",100,1,15,1.72822548166445,0.15359477124183
10035,10087,1,14,"male",100,1,15,1.72822548166445,0.15359477124183
10035,10085,2,14,"male",100,1,15,1.72822548166445,0.15359477124183
10035,10081,3,14,"male",100,1,15,1.72822548166445,0.15359477124183
10035,10026,1,14,"male",100,1,15,1.72822548166445,0.15359477124183
10035,10010,2,14,"male",100,1,15,1.72822548166445,0.15359477124183
10088,10070,1,15,"male",100,0.452522648171826,9,0.0443134738888318,0.0592592592592593
10088,10063,1,15,"male",100,0.452522648171826,9,0.0443134738888318,0.0592592592592593
10088,10042,1,15,"male",100,0.452522648171826,9,0.0443134738888318,0.0592592592592593
10088,10035,1,15,"male",100,0.452522648171826,9,0.0443134738888318,0.0592592592592593
10088,10088,0,15,"male",100,0.452522648171826,9,0.0443134738888318,0.0592592592592593
10088,10015,2,15,"male",100,0.452522648171826,9,0.0443134738888318,0.0592592592592593
10088,10073,1,15,"male",100,0.452522648171826,9,0.0443134738888318,0.0592592592592593
10088,10083,1,15,"male",100,0.452522648171826,9,0.0443134738888318,0.0592592592592593
10088,10053,1,15,"male",100,0.452522648171826,9,0.0443134738888318,0.0592592592592593
10088,10019,2,15,"male",100,0.452522648171826,9,0.0443134738888318,0.0592592592592593
10088,10046,1,15,"male",100,0.452522648171826,9,0.0443134738888318,0.0592592592592593
10088,10099,2,15,"male",100,0.452522648171826,9,0.0443134738888318,0.0592592592592593
10088,10075,2,15,"male",100,0.452522648171826,9,0.0443134738888318,0.0592592592592593
10088,10079,1,15,"male",100,0.452522648171826,9,0.0443134738888318,0.0592592592592593
10088,10087,2,15,"male",100,0.452522648171826,9,0.0443134738888318,0.0592592592592593
10088,10085,2,15,"male",100,0.452522648171826,9,0.0443134738888318,0.0592592592592593
10088,10081,3,15,"male",100,0.452522648171826,9,0.0443134738888318,0.0592592592592593
10088,10026,2,15,"male",100,0.452522648171826,9,0.0443134738888318,0.0592592592592593
10088,10010,2,15,"male",100,0.452522648171826,9,0.0443134738888318,0.0592592592592593
10015,10070,1,16,"male",100,0.645967366967193,10,0.324965475184768,0.0272331154684096
10015,10063,1,16,"male",100,0.645967366967193,10,0.324965475184768,0.0272331154684096
10015,10042,1,16,"male",100,0.645967366967193,10,0.324965475184768,0.0272331154684096
10015,10035,1,16,"male",100,0.645967366967193,10,0.324965475184768,0.0272331154684096
10015,10088,2,16,"male",100,0.645967366967193,10,0.324965475184768,0.0272331154684096
10015,10015,0,16,"male",100,0.645967366967193,10,0.324965475184768,0.0272331154684096
10015,10073,1,16,"male",100,0.645967366967193,10,0.324965475184768,0.0272331154684096
10015,10083,1,16,"male",100,0.645967366967193,10,0.324965475184768,0.0272331154684096
10015,10053,1,16,"male",100,0.645967366967193,10,0.324965475184768,0.0272331154684096
10015,10019,1,16,"male",100,0.645967366967193,10,0.324965475184768,0.0272331154684096
10015,10046,2,16,"male",100,0.645967366967193,10,0.324965475184768,0.0272331154684096
10015,10099,2,16,"male",100,0.645967366967193,10,0.324965475184768,0.0272331154684096
10015,10075,2,16,"male",100,0.645967366967193,10,0.324965475184768,0.0272331154684096
10015,10079,2,16,"male",100,0.645967366967193,10,0.324965475184768,0.0272331154684096
10015,10087,1,16,"male",100,0.645967366967193,10,0.324965475184768,0.0272331154684096
10015,10085,2,16,"male",100,0.645967366967193,10,0.324965475184768,0.0272331154684096
10015,10081,3,16,"male",100,0.645967366967193,10,0.324965475184768,0.0272331154684096
10015,10026,1,16,"male",100,0.645967366967193,10,0.324965475184768,0.0272331154684096
10015,10010,2,16,"male",100,0.645967366967193,10,0.324965475184768,0.0272331154684096
10073,10070,1,14,"male",100,0.937173507440719,11,0.605617476480704,0.00217864923747277
10073,10063,1,14,"male",100,0.937173507440719,11,0.605617476480704,0.00217864923747277
10073,10042,1,14,"male",100,0.937173507440719,11,0.605617476480704,0.00217864923747277
10073,10035,1,14,"male",100,0.937173507440719,11,0.605617476480704,0.00217864923747277
10073,10088,1,14,"male",100,0.937173507440719,11,0.605617476480704,0.00217864923747277
10073,10015,1,14,"male",100,0.937173507440719,11,0.605617476480704,0.00217864923747277
10073,10073,0,14,"male",100,0.937173507440719,11,0.605617476480704,0.00217864923747277
10073,10083,1,14,"male",100,0.937173507440719,11,0.605617476480704,0.00217864923747277
10073,10053,1,14,"male",100,0.937173507440719,11,0.605617476480704,0.00217864923747277
10073,10019,1,14,"male",100,0.937173507440719,11,0.605617476480704,0.00217864923747277
10073,10046,2,14,"male",100,0.937173507440719,11,0.605617476480704,0.00217864923747277
10073,10099,2,14,"male",100,0.937173507440719,11,0.605617476480704,0.00217864923747277
10073,10075,2,14,"male",100,0.937173507440719,11,0.605617476480704,0.00217864923747277
10073,10079,1,14,"male",100,0.937173507440719,11,0.605617476480704,0.00217864923747277
10073,10087,1,14,"male",100,0.937173507440719,11,0.605617476480704,0.00217864923747277
10073,10085,2,14,"male",100,0.937173507440719,11,0.605617476480704,0.00217864923747277
10073,10081,3,14,"male",100,0.937173507440719,11,0.605617476480704,0.00217864923747277
10073,10026,2,14,"male",100,0.937173507440719,11,0.605617476480704,0.00217864923747277
10073,10010,2,14,"male",100,0.937173507440719,11,0.605617476480704,0.00217864923747277
10083,10070,2,15,"male",100,0.564031127170967,12,0.88626947777664,0.0816993464052287
10083,10063,2,15,"male",100,0.564031127170967,12,0.88626947777664,0.0816993464052287
10083,10042,2,15,"male",100,0.564031127170967,12,0.88626947777664,0.0816993464052287
10083,10035,1,15,"male",100,0.564031127170967,12,0.88626947777664,0.0816993464052287
10083,10088,1,15,"male",100,0.564031127170967,12,0.88626947777664,0.0816993464052287
10083,10015,1,15,"male",100,0.564031127170967,12,0.88626947777664,0.0816993464052287
10083,10073,1,15,"male",100,0.564031127170967,12,0.88626947777664,0.0816993464052287
10083,10083,0,15,"male",100,0.564031127170967,12,0.88626947777664,0.0816993464052287
10083,10053,1,15,"male",100,0.564031127170967,12,0.88626947777664,0.0816993464052287
10083,10019,1,15,"male",100,0.564031127170967,12,0.88626947777664,0.0816993464052287
10083,10046,1,15,"male",100,0.564031127170967,12,0.88626947777664,0.0816993464052287
10083,10099,1,15,"male",100,0.564031127170967,12,0.88626947777664,0.0816993464052287
10083,10075,1,15,"male",100,0.564031127170967,12,0.88626947777664,0.0816993464052287
10083,10079,1,15,"male",100,0.564031127170967,12,0.88626947777664,0.0816993464052287
10083,10087,1,15,"male",100,0.564031127170967,12,0.88626947777664,0.0816993464052287
10083,10085,2,15,"male",100,0.564031127170967,12,0.88626947777664,0.0816993464052287
10083,10081,3,15,"male",100,0.564031127170967,12,0.88626947777664,0.0816993464052287
10083,10026,1,15,"male",100,0.564031127170967,12,0.88626947777664,0.0816993464052287
10083,10010,2,15,"male",100,0.564031127170967,12,0.88626947777664,0.0816993464052287
10053,10070,2,14,"male",100,0.600098176083993,13,1.16692147907258,0.185947712418301
10053,10063,1,14,"male",100,0.600098176083993,13,1.16692147907258,0.185947712418301
10053,10042,1,14,"male",100,0.600098176083993,13,1.16692147907258,0.185947712418301
10053,10035,1,14,"male",100,0.600098176083993,13,1.16692147907258,0.185947712418301
10053,10088,1,14,"male",100,0.600098176083993,13,1.16692147907258,0.185947712418301
