"ID","participantNr","period","gender","nAnimals","estimate","socialInfo","estimate_revised","s","target","d_target","IOS","treatment","classR","otherNr","age","self_popularity","std_self_popularity","self_indegree","std_self_indegree","self_smart","std_self_smart","eigenCentralitySelf","BetweenesSelf","distance","friends_xy","popular_xy","smart_xy","other_p_indegree","std_other_p_indegree","other_p_popularity","std_other_p_popularity","other_p_smart","std_other_p_smart","eigenCentralityOther","BetweenesOther","perc_self_indegree","perc_self_popularity","perc_self_smart","perc_other_p_indegree","perc_other_p_popularity","perc_other_smart","friendANDnonFriend","diffPeers","heuristic","friend","norme1","norme2","error1","error2","percent_error1","percent_error2","improvement","improvementnorm","dist","improved","improved_factor","under","under_factor","under_e2","under_factor_e2","copy","stay"
1,10088,1,"male",53,49,56,53,0.571428571428571,58.8,2.8,5,1,100,10070,15,0,-0.666199965342534,6,-0.168212055933954,6,0.669555886200519,0.51515278010243,0.00893246187363834,1,1,0,0,5,-0.523326396238968,2,-0.262442410589483,0,-1.07711164301823,0.56582209940797,0.0111111111111111,0.333333333333333,0,0.333333333333333,0.277777777777778,0.111111111111111,0,1,1,2,1,0.924528301886792,1,4,0,7.54716981132075,0,4,0.0754716981132075,7,-1,"worst",-1,"underestimate",0,"correct",0,0
1,10088,2,"male",50,58,66,62,0.5,46.4,19.6,5,1,100,10070,15,0,-0.666199965342534,6,-0.168212055933954,6,0.669555886200519,0.51515278010243,0.00893246187363834,1,1,0,0,5,-0.523326396238968,2,-0.262442410589483,0,-1.07711164301823,0.56582209940797,0.0111111111111111,0.333333333333333,0,0.333333333333333,0.277777777777778,0.111111111111111,0,1,1,2,1,1.16,1.24,8,12,16,24,-4,-0.08,8,-1,"worst",1,"overestimate",1,"overestimate",0,0
1,10088,3,"male",50,63,52,59,0.363636363636364,50.4,1.59999999999999,5,1,100,10070,15,0,-0.666199965342534,6,-0.168212055933954,6,0.669555886200519,0.51515278010243,0.00893246187363834,1,1,0,0,5,-0.523326396238968,2,-0.262442410589483,0,-1.07711164301823,0.56582209940797,0.0111111111111111,0.333333333333333,0,0.333333333333333,0.277777777777778,0.111111111111111,0,1,1,2,1,1.26,1.18,13,9,26,18,4,0.08,11,-1,"worst",1,"overestimate",1,"overestimate",0,0
1,10088,4,"male",52,55,75,65,0.5,44,31,5,1,100,10070,15,0,-0.666199965342534,6,-0.168212055933954,6,0.669555886200519,0.51515278010243,0.00893246187363834,1,1,0,0,5,-0.523326396238968,2,-0.262442410589483,0,-1.07711164301823,0.56582209940797,0.0111111111111111,0.333333333333333,0,0.333333333333333,0.277777777777778,0.111111111111111,0,1,1,2,1,1.05769230769231,1.25,3,13,5.76923076923077,25,-10,-0.192307692307692,20,-1,"worst",1,"overestimate",1,"overestimate",0,0
1,10088,5,"male",58,56,65,60,0.444444444444444,67.2,2.2,5,1,100,10070,15,0,-0.666199965342534,6,-0.168212055933954,6,0.669555886200519,0.51515278010243,0.00893246187363834,1,1,0,0,5,-0.523326396238968,2,-0.262442410589483,0,-1.07711164301823,0.56582209940797,0.0111111111111111,0.333333333333333,0,0.333333333333333,0.277777777777778,0.111111111111111,0,1,1,2,1,0.96551724137931,1.03448275862069,2,2,3.44827586206897,3.44827586206897,0,0,9,-1,"worst",-1,"underestimate",1,"overestimate",0,0
1,10088,6,"male",53,60,50,58,0.2,48,2,2,0,100,10042,15,0,-0.666199965342534,6,-0.168212055933954,6,0.669555886200519,0.51515278010243,0.00893246187363834,2,0,1,0,10,1.2522453052861,7,0.746951476293145,4,0.0873333764609373,0.49203137516211,0,0.333333333333333,0,0.333333333333333,0.555555555555556,0.388888888888889,0.222222222222222,1,1,2,0,1.13207547169811,1.09433962264151,7,5,13.2075471698113,9.43396226415094,2,0.0377358490566038,10,-1,"worst",1,"overestimate",1,"overestimate",0,0
1,10088,7,"male",50,53,67,55,0.142857142857143,42.4,24.6,2,0,100,10042,15,0,-0.666199965342534,6,-0.168212055933954,6,0.669555886200519,0.51515278010243,0.00893246187363834,2,0,1,0,10,1.2522453052861,7,0.746951476293145,4,0.0873333764609373,0.49203137516211,0,0.333333333333333,0,0.333333333333333,0.555555555555556,0.388888888888889,0.222222222222222,1,1,2,0,1.06,1.1,3,5,6,10,-2,-0.04,14,-1,"worst",1,"overestimate",1,"overestimate",0,0
1,10088,8,"male",50,45,56,49,0.363636363636364,54,2,2,0,100,10042,15,0,-0.666199965342534,6,-0.168212055933954,6,0.669555886200519,0.51515278010243,0.00893246187363834,2,0,1,0,10,1.2522453052861,7,0.746951476293145,4,0.0873333764609373,0.49203137516211,0,0.333333333333333,0,0.333333333333333,0.555555555555556,0.388888888888889,0.222222222222222,1,1,2,0,0.9,0.98,5,1,10,2,4,0.08,11,-1,"worst",-1,"underestimate",-1,"underestimate",0,0
1,10088,9,"male",52,54,60,56,0.333333333333333,43.2,16.8,2,0,100,10042,15,0,-0.666199965342534,6,-0.168212055933954,6,0.669555886200519,0.51515278010243,0.00893246187363834,2,0,1,0,10,1.2522453052861,7,0.746951476293145,4,0.0873333764609373,0.49203137516211,0,0.333333333333333,0,0.333333333333333,0.555555555555556,0.388888888888889,0.222222222222222,1,1,2,0,1.03846153846154,1.07692307692308,2,4,3.84615384615385,7.69230769230769,-2,-0.0384615384615385,6,-1,"worst",1,"overestimate",1,"overestimate",0,0
1,10088,10,"male",58,62,55,60,0.285714285714286,49.6,5.4,2,0,100,10042,15,0,-0.666199965342534,6,-0.168212055933954,6,0.669555886200519,0.51515278010243,0.00893246187363834,2,0,1,0,10,1.2522453052861,7,0.746951476293145,4,0.0873333764609373,0.49203137516211,0,0.333333333333333,0,0.333333333333333,0.555555555555556,0.388888888888889,0.222222222222222,1,1,2,0,1.06896551724138,1.03448275862069,4,2,6.89655172413793,3.44827586206897,2,0.0344827586206897,7,-1,"worst",1,"overestimate",1,"overestimate",0,0
