"IDself","IDother","distance","age","gender","classNr","friendsIn","friendsOut","stdFriendsIn","percFriendsIn","Leadership","stdLeadership","Popularity","stdPopularity","percPopularity","EigenvectorCentrality","Betweenness","Smart","stdSmart","percSmart","Advice","stdAdvice","Help","stdHelp","Secret","stdSecret","Domninace","stdDomninace","Bullied","stdBullied","Bully","stdBully","friendship_nomination","pop_nomination","smart_nomination","sample"
10026,10042,2,15,"female",100,5,5,-0.523326396238968,0.277777777777778,1,-0.0759708327992328,12,1.75634536317577,0.666666666666667,0.385785750481864,0.00806100217864924,0,-1.07711164301823,0,0,-0.677569814266388,0,-1.59286157870004,0,-1.32826417338032,3,1.7212790256754,0,NA,0,NA,1,0,1,19
10026,10035,1,15,"female",100,5,5,-0.523326396238968,0.277777777777778,1,-0.0759708327992328,12,1.75634536317577,0.666666666666667,0.385785750481864,0.00806100217864924,0,-1.07711164301823,0,0,-0.677569814266388,0,-1.59286157870004,0,-1.32826417338032,3,1.7212790256754,0,NA,0,NA,1,0,1,19
10026,10088,3,15,"female",100,5,5,-0.523326396238968,0.277777777777778,1,-0.0759708327992328,12,1.75634536317577,0.666666666666667,0.385785750481864,0.00806100217864924,0,-1.07711164301823,0,0,-0.677569814266388,0,-1.59286157870004,0,-1.32826417338032,3,1.7212790256754,0,NA,0,NA,0,0,0,19
10026,10083,2,15,"female",100,5,5,-0.523326396238968,0.277777777777778,1,-0.0759708327992328,12,1.75634536317577,0.666666666666667,0.385785750481864,0.00806100217864924,0,-1.07711164301823,0,0,-0.677569814266388,0,-1.59286157870004,0,-1.32826417338032,3,1.7212790256754,0,NA,0,NA,0,0,0,19
10026,10010,3,15,"female",100,5,5,-0.523326396238968,0.277777777777778,1,-0.0759708327992328,12,1.75634536317577,0.666666666666667,0.385785750481864,0.00806100217864924,0,-1.07711164301823,0,0,-0.677569814266388,0,-1.59286157870004,0,-1.32826417338032,3,1.7212790256754,0,NA,0,NA,0,0,0,19
10026,10019,1,15,"female",100,5,5,-0.523326396238968,0.277777777777778,1,-0.0759708327992328,12,1.75634536317577,0.666666666666667,0.385785750481864,0.00806100217864924,0,-1.07711164301823,0,0,-0.677569814266388,0,-1.59286157870004,0,-1.32826417338032,3,1.7212790256754,0,NA,0,NA,1,0,1,19
10026,10063,2,15,"female",100,5,5,-0.523326396238968,0.277777777777778,1,-0.0759708327992328,12,1.75634536317577,0.666666666666667,0.385785750481864,0.00806100217864924,0,-1.07711164301823,0,0,-0.677569814266388,0,-1.59286157870004,0,-1.32826417338032,3,1.7212790256754,0,NA,0,NA,0,0,0,19
10026,10079,2,15,"female",100,5,5,-0.523326396238968,0.277777777777778,1,-0.0759708327992328,12,1.75634536317577,0.666666666666667,0.385785750481864,0.00806100217864924,0,-1.07711164301823,0,0,-0.677569814266388,0,-1.59286157870004,0,-1.32826417338032,3,1.7212790256754,0,NA,0,NA,0,0,0,19
10026,10087,1,15,"female",100,5,5,-0.523326396238968,0.277777777777778,1,-0.0759708327992328,12,1.75634536317577,0.666666666666667,0.385785750481864,0.00806100217864924,0,-1.07711164301823,0,0,-0.677569814266388,0,-1.59286157870004,0,-1.32826417338032,3,1.7212790256754,0,NA,0,NA,1,0,0,19
10026,10099,3,15,"female",100,5,5,-0.523326396238968,0.277777777777778,1,-0.0759708327992328,12,1.75634536317577,0.666666666666667,0.385785750481864,0.00806100217864924,0,-1.07711164301823,0,0,-0.677569814266388,0,-1.59286157870004,0,-1.32826417338032,3,1.7212790256754,0,NA,0,NA,0,0,0,19
