"ID","participantNr","gender","IOS","treatment","classR","otherNr","age","self_popularity","std_self_popularity","self_indegree","std_self_indegree","self_smart","std_self_smart","eigenCentralitySelf","BetweenesSelf","distance","friends_xy","popular_xy","smart_xy","other_p_indegree","std_other_p_indegree","other_p_popularity","std_other_p_popularity","other_p_smart","std_other_p_smart","eigenCentralityOther","BetweenesOther","perc_self_indegree","perc_self_popularity","perc_self_smart","perc_other_p_indegree","perc_other_p_popularity","other_smart","perc_other_smart","friendANDnonFriend","diffPeers","friend","non_na_count","mean_s"
1,10088,"male",5,1,100,10070,15,0,-0.666199965342534,6,-0.168212055933954,6,0.669555886200519,0.51515278010243,0.00893246187363834,1,1,0,0,5,-0.523326396238968,2,-0.262442410589483,NA,-1.07711164301823,0.56582209940797,0.0111111111111111,0.333333333333333,0,0.333333333333333,0.277777777777778,0.111111111111111,0,0,1,1,1,5,0.475901875901876
1,10088,"male",2,0,100,10042,15,0,-0.666199965342534,6,-0.168212055933954,6,0.669555886200519,0.51515278010243,0.00893246187363834,2,0,1,0,10,1.2522453052861,7,0.746951476293145,NA,0.0873333764609373,0.49203137516211,0,0.333333333333333,0,0.333333333333333,0.555555555555556,0.388888888888889,4,0.222222222222222,1,1,0,5,0.265108225108225
2,10087,"female",2,0,100,10099,14,8,0.94883025366967,5,-0.523326396238968,0,-1.07711164301823,0.372150251504093,0.0269063180827887,2,0,0,0,6,-0.168212055933954,0,-0.666199965342534,NA,-0.494889133278645,0.450261718079341,0.00261437908496732,0.277777777777778,0.444444444444444,0,0.333333333333333,0,2,0.111111111111111,1,1,0,5,0.228658008658009
2,10087,"female",5,1,100,10026,14,8,0.94883025366967,5,-0.523326396238968,0,-1.07711164301823,0.372150251504093,0.0269063180827887,1,1,1,0,5,-0.523326396238968,12,1.75634536317577,NA,-1.07711164301823,0.385785750481864,0.00806100217864924,0.277777777777778,0.444444444444444,0,0.277777777777778,0.666666666666667,0,0,1,1,1,5,0.106363636363636
3,10015,"male",5,1,100,10019,16,12,1.75634536317577,7,0.18690228437106,3,-0.203777878408854,0.336575735861928,0.0198257080610022,1,1,1,0,9,0.897130964981089,15,2.36198169530535,NA,2.41622341541927,0.598761758458581,0.0274509803921569,0.388888888888889,0.666666666666667,0.166666666666667,0.5,0.833333333333333,12,0.666666666666667,1,1,1,5,0.246428571428571
3,10015,"male",2,0,100,10042,16,12,1.75634536317577,7,0.18690228437106,3,-0.203777878408854,0.336575735861928,0.0198257080610022,3,0,1,0,10,1.2522453052861,7,0.746951476293145,NA,0.0873333764609373,0.49203137516211,0,0.388888888888889,0.666666666666667,0.166666666666667,0.555555555555556,0.388888888888889,4,0.222222222222222,1,1,0,5,0.0666666666666666
4,10070,"male",2,0,100,10019,15,2,-0.262442410589483,5,-0.523326396238968,0,-1.07711164301823,0.56582209940797,0.0111111111111111,2,0,0,1,9,0.897130964981089,15,2.36198169530535,NA,2.41622341541927,0.598761758458581,0.0274509803921569,0.277777777777778,0.111111111111111,0,0.5,0.833333333333333,12,0.666666666666667,1,1,0,5,0.092032967032967
4,10070,"male",5,1,100,10042,15,2,-0.262442410589483,5,-0.523326396238968,0,-1.07711164301823,0.56582209940797,0.0111111111111111,1,1,0,0,10,1.2522453052861,7,0.746951476293145,NA,0.0873333764609373,0.49203137516211,0,0.277777777777778,0.111111111111111,0,0.555555555555556,0.388888888888889,4,0.222222222222222,1,1,1,5,0.188571428571428
5,10075,"female",5,1,100,10046,15,0,-0.666199965342534,5,-0.523326396238968,3,-0.203777878408854,0.599230369271888,0.0206971677559913,1,1,0,0,8,0.542016624676074,0,-0.666199965342534,NA,-0.786000388148436,0.503568693499926,0.0261437908496732,0.277777777777778,0,0.166666666666667,0.444444444444444,0,1,0.0555555555555556,1,1,1,5,0.382857142857143
5,10075,"female",2,0,100,10026,15,0,-0.666199965342534,5,-0.523326396238968,3,-0.203777878408854,0.599230369271888,0.0206971677559913,2,0,1,0,5,-0.523326396238968,12,1.75634536317577,NA,-1.07711164301823,0.385785750481864,0.00806100217864924,0.277777777777778,0,0.166666666666667,0.277777777777778,0.666666666666667,0,0,1,1,0,5,0.1625
6,10081,"female",2,0,100,10026,16,0,-0.666199965342534,1,-1.94378375745903,1,-0.786000388148436,0,0,0,0,0,0,5,-0.523326396238968,12,1.75634536317577,NA,-1.07711164301823,0.385785750481864,0.00806100217864924,0.0555555555555556,0,0.0555555555555556,0.277777777777778,0.666666666666667,0,0,0,1,0,5,0.04
6,10081,"female",5,1,100,10046,16,0,-0.666199965342534,1,-1.94378375745903,1,-0.786000388148436,0,0,0,0,0,0,8,0.542016624676074,0,-0.666199965342534,NA,-0.786000388148436,0.503568693499926,0.0261437908496732,0.0555555555555556,0,0.0555555555555556,0.444444444444444,0,1,0.0555555555555556,0,1,0,5,0.130769230769231
7,10099,"female",5,1,100,10046,14,0,-0.666199965342534,6,-0.168212055933954,2,-0.494889133278645,0.450261718079341,0.00261437908496732,1,1,0,0,8,0.542016624676074,0,-0.666199965342534,NA,-0.786000388148436,0.503568693499926,0.0261437908496732,0.333333333333333,0,0.111111111111111,0.444444444444444,0,1,0.0555555555555556,1,1,1,5,0.22
7,10099,"female",2,0,100,10026,14,0,-0.666199965342534,6,-0.168212055933954,2,-0.494889133278645,0.450261718079341,0.00261437908496732,3,0,1,0,5,-0.523326396238968,12,1.75634536317577,NA,-1.07711164301823,0.385785750481864,0.00806100217864924,0.333333333333333,0,0.111111111111111,0.277777777777778,0.666666666666667,0,0,1,1,0,5,0.266666666666667
